Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord,RSSI_Mean,RSSI_Variance,RSSI_Median
-74,-62,-70,-71,-77,-73,127,-75,1,4,-46.875,4956.410714285715,-72.0
-74,-62,-70,-71,-77,127,-81,127,1,4,-22.625,8559.125,-70.5
-75,-62,-71,-71,127,-73,-83,-76,1,4,-48.0,5034.571428571428,-72.0
-74,-62,-70,-71,-77,-73,127,127,1,4,-21.625,8433.69642857143,-70.5
-74,-62,-70,-71,-78,-72,127,127,1,4,-21.625,8435.125,-70.5
-75,-62,-70,-71,-78,-72,127,-76,1,4,-47.125,4973.839285714285,-71.5
-74,-62,-70,-71,-78,127,127,-76,1,4,-22.125,8494.69642857143,-70.5
-75,-62,-70,-71,-78,-73,127,-76,1,4,-47.25,4981.071428571428,-72.0
-75,-62,-70,-71,-77,-72,127,-76,1,4,-47.0,4965.142857142857,-71.5
-75,-62,127,-71,-78,-73,-83,-76,1,4,-48.875,5086.696428571428,-74.0
-75,-62,-70,127,-77,-73,127,-77,1,4,-22.5,8537.714285714286,-71.5
-75,-62,-70,-71,-77,-73,127,-77,1,4,-47.25,4980.785714285715,-72.0
-74,-62,-70,127,-78,-72,127,127,1,4,3.125,10542.410714285714,-66.0
-74,-62,-70,-71,-77,-72,127,-76,1,4,-46.875,4957.267857142857,-71.5
-74,-62,-70,-71,-77,-72,127,-76,1,4,-46.875,4957.267857142857,-71.5
-74,-63,-70,-70,127,-73,127,-77,1,4,-21.625,8431.410714285714,-70.0
-75,-62,-70,-71,-77,-73,127,127,1,4,-21.75,8448.785714285714,-70.5
-75,-62,-70,-71,127,-73,127,127,1,4,3.75,10430.5,-66.0
-75,-62,-70,-71,-78,-73,127,-76,1,4,-47.25,4981.071428571428,-72.0
-75,-62,-70,-71,127,-73,127,-76,1,4,-21.625,8433.125,-70.5
-75,-62,-70,-71,-77,-73,127,127,1,4,-21.75,8448.785714285714,-70.5
-75,-62,-70,-71,-78,-73,127,-77,1,4,-47.375,4989.410714285715,-72.0
-75,-63,-70,-71,-77,-73,127,-76,1,4,-47.25,4976.785714285715,-72.0
-77,-62,-70,-71,-77,-73,127,-76,1,4,-47.375,4988.839285714285,-72.0
127,-63,-70,-71,127,-73,127,-75,1,4,3.625,10449.410714285714,-66.5
-75,-62,-70,-71,-77,-73,127,-76,1,4,-47.125,4972.410714285715,-72.0
-75,-62,-70,-71,-77,-73,127,-76,1,4,-47.125,4972.410714285715,-72.0
-75,-62,-70,-71,-77,127,127,-77,1,4,-22.25,8509.357142857143,-70.5
-75,-62,-70,-71,-77,-73,127,-77,1,4,-47.25,4980.785714285715,-72.0
-75,-62,-70,-71,127,-73,127,-77,1,4,-21.75,8448.785714285714,-70.5
-75,-62,-70,-71,-78,-73,-85,-77,1,4,-73.875,45.267857142857146,-74.0
127,-62,-70,-70,-77,-73,127,-76,1,4,-21.75,8450.214285714286,-70.0
-75,-63,-70,-71,-77,-73,127,-76,1,4,-47.25,4976.785714285715,-72.0
-75,-62,-70,-71,-78,-72,127,-77,1,4,-47.25,4982.214285714285,-71.5
-75,-62,-70,-72,-78,-72,127,-77,1,4,-47.375,4989.125,-72.0
-74,-62,-70,-71,-77,-73,127,-77,1,4,-47.125,4972.982142857143,-72.0
-75,-62,-71,-71,-78,-73,127,-76,1,4,-47.375,4987.696428571428,-72.0
-75,-62,-70,-71,-78,-73,127,-76,1,4,-47.25,4981.071428571428,-72.0
-67,-61,-72,-71,-82,127,127,127,0,4,3.5,10492.57142857143,-64.0
-66,-60,127,-70,127,127,127,-83,0,4,28.625,11100.839285714286,33.5
-67,-60,-72,-72,-84,127,127,-81,0,4,-22.75,8598.785714285714,-69.5
-67,-60,127,-72,127,127,127,-80,0,4,28.625,11090.55357142857,33.5
-66,-60,-73,-72,127,127,127,-80,0,4,3.75,10449.07142857143,-63.0
-67,-60,-72,-71,-83,127,127,-79,0,4,-22.25,8534.5,-69.0
