Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-75,-67,-76,-70,-77,-76,-82,-81,1,6
-75,-69,-77,-70,-76,127,-82,-81,1,6
-75,-70,-77,-70,-77,127,127,-82,1,6
-76,-69,-77,127,-76,-76,-82,127,1,6
-76,-70,-76,-70,-77,-76,-80,127,1,6
-75,-69,-76,-70,-76,-76,-81,127,1,6
-76,-69,-77,-69,-77,-76,-80,-82,1,6
-75,-69,-77,-70,-77,-76,127,-81,1,6
127,-69,-76,-69,-76,-76,-80,-80,1,6
-76,-69,-77,-69,127,127,127,127,1,6
-76,-69,-76,-70,-77,-76,-82,127,1,6
-76,-69,-76,-70,-77,-76,-81,-82,1,6
-76,-69,-76,-69,-77,-75,127,127,1,6
-76,-69,127,127,-77,-76,-80,127,1,6
-76,-69,-77,-70,-77,127,-82,-82,1,6
-76,-68,-76,-70,-76,-74,-81,127,1,6
-77,-69,127,-70,-76,-75,-80,127,1,6
-76,-69,-76,-70,127,-76,-80,-81,1,6
-76,-69,-76,-70,127,-75,127,127,1,6
-77,-71,127,-70,-77,-75,-81,-82,1,6
127,-70,-76,-70,-77,127,127,-81,1,6
-77,-70,-76,-69,-76,-75,-82,-81,1,6
-76,-71,-76,-70,127,-76,-84,-81,1,6
-76,-70,-75,-69,127,-76,127,-81,1,6
-76,-70,-75,-70,127,-76,127,-81,1,6
-76,-70,-75,-69,-76,-75,-81,-81,1,6
-76,-70,-75,-70,127,127,127,-81,1,6
-76,-70,-75,-70,127,-75,127,-82,1,6
-76,-70,-76,127,-75,-76,-81,127,1,6
127,-70,-75,-70,-76,-76,-84,127,1,6
127,-70,-75,-69,-76,-75,127,127,1,6
-76,-70,-76,-69,-77,-75,127,-81,1,6
-76,-70,-75,-69,-78,-76,127,-81,1,6
-77,-69,-75,-69,-77,-76,-81,-83,1,6
-77,-69,-75,-69,-76,-76,-83,127,1,6
-77,-69,-75,-69,-76,-74,-83,-82,1,6
-77,127,-76,-69,-77,-75,-81,-82,1,6
-76,-69,-76,-70,-76,-76,-81,-81,1,6
-76,127,-76,127,-77,-76,127,-80,1,6
-76,-69,-76,-69,-76,-76,-81,-82,1,6
-75,127,-76,-70,-76,127,-81,-82,1,6
-76,-69,-76,-69,-76,-76,-81,-82,1,6
-76,-69,-76,-69,-76,-75,127,-82,1,6
-76,-69,-76,-69,-77,-76,-81,-80,1,6
-75,-70,-76,-69,-77,127,-82,-83,1,6
-76,-69,-76,-69,127,-76,-82,127,1,6
-76,-69,-76,-69,-76,-77,127,-82,1,6
-79,-69,127,-69,-77,-76,-82,127,1,6
127,-70,-75,-69,-76,-76,-82,-82,1,6
-77,-69,-76,-69,-77,-76,127,-82,1,6
-77,-69,-75,127,-77,127,-81,127,1,6
-78,-69,-75,-69,-77,-76,-81,-83,1,6
-76,-69,-75,-69,-76,-76,-80,127,1,6
-75,-68,127,-69,-76,-76,127,127,1,6
-71,-74,-73,-78,127,-80,127,127,2,7
-72,-75,-73,-79,127,-80,127,-80,2,7
-71,-75,-72,-78,127,-79,127,-80,2,7
-71,-75,-72,127,127,-80,127,-80,2,7
-71,-76,-72,-79,127,-80,127,-80,2,7
-70,-75,-72,-80,-83,-80,127,-80,2,7
-70,-75,-73,-80,-82,-81,127,-79,2,7
-70,-74,-73,-80,127,-80,127,-81,2,7
-70,-75,-72,-80,127,127,127,-81,2,7
-71,-75,-73,-80,-84,-80,127,-82,2,7
-70,-75,-73,-81,127,-80,127,-80,2,7
-71,-75,-73,-80,-83,-80,127,-80,2,7
-71,-75,-73,-80,-84,-80,127,-81,2,7
-71,-75,-73,-80,127,-80,127,-81,2,7
-70,-75,-73,-80,127,-79,127,-80,2,7
-71,-75,-72,-80,127,-79,127,-81,2,7
-71,-75,-72,-80,127,-80,127,-82,2,7
