Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-70,127,-75,-74,127,-71,-74,-84,0,2
-71,127,-76,-73,127,127,127,127,0,2
-70,127,127,127,127,-71,-75,127,0,2
127,127,127,-74,127,-71,-75,-81,0,2
-70,127,-75,-74,127,-71,-74,127,0,2
-70,127,-74,-74,127,127,-74,-81,0,2
127,127,-75,-74,127,-71,-75,-80,0,2
-70,127,127,127,-85,127,-75,-79,0,2
-70,127,-74,127,127,-71,127,127,0,2
-71,127,-74,-74,127,-71,-75,-80,0,2
-70,127,127,-74,127,-71,-75,-79,0,2
-70,127,-75,-75,127,-71,-75,127,0,2
-71,127,-74,127,-85,-71,-75,-79,0,2
127,127,127,-74,127,-71,-75,-79,0,2
127,127,-74,127,127,-71,-75,-80,0,2
-70,127,-74,-74,127,-71,127,-79,0,2
-70,127,-75,127,127,-71,-76,127,0,2
-70,127,-74,-74,127,-71,-76,-81,0,2
-71,-90,-75,127,127,-71,-75,-80,0,2
-70,127,-74,-74,-85,-71,-73,-83,0,2
-70,127,-74,-75,127,-71,127,127,0,2
-70,127,-74,-73,127,-71,-74,127,0,2
127,127,-74,-74,127,-71,-74,-84,0,2
-70,127,-74,-74,127,-70,-74,-82,0,2
-70,127,-74,-74,127,-70,-74,127,0,2
127,127,-74,-75,127,-70,-73,-83,0,2
-70,127,-74,-74,127,-70,-74,127,0,2
127,-84,-74,-74,127,-70,-75,-80,0,2
-71,127,-74,127,127,-70,-76,127,0,2
-70,127,-74,127,127,-70,-76,-81,0,2
-71,127,-74,-73,127,-70,-76,127,0,2
-70,127,-76,127,127,-70,-75,127,0,2
-70,-86,127,-72,-84,-71,-76,127,0,2
-71,127,127,-74,127,-71,-76,-76,0,2
-70,127,-74,-72,127,-71,-76,-77,0,2
-70,127,-74,-73,127,-70,-76,-77,0,2
-71,127,-75,-73,127,-70,127,-76,0,2
-71,127,-73,-73,127,-72,127,-77,0,2
-71,127,-75,-72,127,-71,-77,127,0,2
127,127,-74,-73,127,127,-75,127,0,2
-71,127,-73,-72,-83,127,-76,-77,0,2
-70,127,127,-72,127,-71,-77,-77,0,2
-71,127,-73,-72,127,-69,-78,-77,0,2
-71,127,-73,-73,-84,-71,-79,-75,0,2
-71,-86,-75,-71,127,-71,-78,-76,0,2
127,127,-73,-72,-86,-71,-80,-81,0,2
-70,127,-74,-72,127,-71,-79,-77,0,2
127,127,-74,-72,127,-73,-77,-76,0,2
-70,127,-74,-72,127,-71,-79,-75,0,2
-70,127,-74,-74,127,-71,-80,-75,0,2
-70,127,-75,-74,127,-71,127,-76,0,2
-70,127,-76,-74,127,-76,-78,-76,0,2
-70,127,-75,127,127,-70,-79,127,0,2
-70,127,-75,127,127,-71,127,-76,0,2
-70,127,127,-73,-83,-70,-81,-77,0,2
-70,127,127,-73,-80,-70,-76,127,0,2
-70,127,-74,127,127,127,-79,-81,0,2
-71,-78,127,-76,127,-70,-78,-77,0,2
-70,127,127,127,127,-70,-77,-78,0,2
-70,127,-73,-77,-82,-70,-80,-80,0,2
-70,-80,-74,-77,127,-69,-77,-76,0,2
-71,-80,-75,-75,127,-69,-78,-77,0,2
-70,-82,-76,127,127,-70,-78,-73,0,2
-81,-82,-76,-78,-83,-70,127,-76,0,2
127,-51,127,127,-78,-79,-80,127,0,3
127,-51,-72,-72,127,-78,127,-72,0,3
127,-53,-70,-71,-78,127,127,127,0,3
127,-51,-70,127,-78,-77,127,127,0,3
127,-51,-70,-71,-79,-79,127,-74,0,3
127,-53,-70,127,-78,127,-80,127,0,3
127,-51,-69,-73,127,-81,-81,-74,0,3
127,-51,-68,127,127,-80,127,127,0,3
127,-51,-68,-72,127,127,-80,-73,0,3
127,-51,-68,127,127,127,127,-72,0,3
127,-51,-68,-72,-78,-80,-81,127,0,3
127,-51,127,-72,127,-77,-79,-73,0,3
127,-51,127,-73,-78,-76,-81,127,0,3
127,-51,-69,-73,-77,127,-79,127,0,3
127,-51,-70,-71,-78,-78,-82,127,0,3
127,-51,127,127,127,-77,127,127,0,3
127,-51,-69,-72,-80,-81,127,127,0,3
127,-53,127,-73,-78,127,-82,-74,0,3
127,-51,-70,127,-78,-78,-81,-70,0,3
127,127,-70,-72,127,-79,127,127,0,3
127,127,-70,127,-78,-81,127,-69,0,3
127,-53,127,127,127,127,127,127,0,3
127,-51,-70,-72,127,127,127,127,0,3
127,-51,-69,127,-78,127,127,127,0,3
127,-51,-69,-69,-76,-80,-77,127,0,3
127,-52,-69,-71,127,127,127,127,0,3
127,-51,127,127,127,-76,127,127,0,3
127,-51,-69,-75,127,-78,127,127,0,3
127,-51,-70,-76,-78,-78,127,-72,0,3
127,-51,-69,-74,-78,-77,127,127,0,3
127,-51,-69,-81,127,-78,127,-71,0,3
127,-52,-69,-77,-79,-77,127,-71,0,3
127,-53,-70,127,-78,-78,127,127,0,3
127,-51,-70,-77,127,-79,127,127,0,3
127,-51,-70,127,127,127,127,127,0,3
127,-53,-70,-74,-78,127,127,127,0,3
127,-51,127,-73,-79,-78,127,-72,0,3
127,-53,127,127,-78,-78,127,-73,0,3
127,-52,-69,-75,-76,127,127,-73,0,3
127,-51,-70,-75,-78,-78,127,-74,0,3
127,-51,127,-76,-78,-78,127,-74,0,3
127,-51,-69,-77,127,-77,127,127,0,3
127,-52,-69,127,127,-79,127,-74,0,3
127,-51,-69,-76,-78,-80,127,-74,0,3
127,-53,-69,-74,-77,-80,127,-74,0,3
127,-53,-69,-78,-78,-78,127,-76,0,3
127,-51,-70,-76,-77,-79,127,-76,0,3
127,-51,127,-78,127,-78,127,127,0,3
127,-53,-69,-77,-78,-79,127,127,0,3
127,-51,-70,-79,127,-77,127,-71,0,3
127,-51,-69,-80,-76,-81,-82,-71,0,3
127,-53,-68,-78,127,-80,127,127,0,3
127,-51,-71,-76,-80,-75,127,-72,0,3
127,-51,-70,-75,-79,127,-77,-74,0,3
127,-50,-70,127,-80,-78,127,-74,0,3
-83,-52,-70,-77,-78,-77,127,-74,0,3
127,-51,-70,-76,-78,-78,127,-74,0,3
127,-51,127,-78,-79,-77,-79,127,0,3
